Name,Region,ISO_3166_Num,ISO_3166,Country,Business Model,Network Sharing Architecture,Network Technology,Deployment Scenario,Otro
YOTA,Europe,643,RUS,Russia,Single Wholesale Network,MNO/MVNO Wholesale,4G,"Rural, Ultra-Rural, Low-ARPU Urban",1
Kenya Single Wholesale Network,Africa & Middle East,404,KEN,Kenya,Single Wholesale Network,MOCN,4G,"Rural, Ultra-Rural, Low-ARPU Urban",2
Altan Redes,Latin America,484,MEX,Mexico,Single Wholesale Network,"MNO/MVNO Wholesale, MOCN",4G,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban",3
Open fiber,Europe,380,ITA,Italy,Fixed OAN,FTTH wholesale|IP/Ethernet Services|Wavelength Service,"GPON, Ethernet, DWDM","Rural, Ultra-Rural, Low-ARPU Urban",2
KT Rwanda Networks Ltd,Africa & Middle East,646,RWA,Rwanda,Single Wholesale Network,MNO/MVNO Wholesale,4G,"Rural, Ultra-Rural, Low-ARPU Urban",3
KT Rwanda Networks Ltd,Africa & Middle East,646,RWA,Rwanda,Fixed OAN,IP/Ethernet Services,Ethernet,"Rural, Ultra-Rural, Low-ARPU Urban",3
Red Dorsal,Latin America,604,PER,Peru,Fixed OAN,Dark Fiber Leasing,DWDM,"Rural, Ultra-Rural, Low-ARPU Urban",4
National Broadband Network (NBN),Asia Pacific,36,AUS,Australia,Fixed OAN,FTTH Wholesale|IP/Ethernet Services,"GPON, Ethernet, Satellite","Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban",3
dstelecom,Europe,620,PRT,Portugal,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services,"GPON, Ethernet","Rural, Ultra-Rural",2
EstWin,Europe,233,EST,Estonia,Fixed OAN,Dark Fiber Leasing|IP/IP/Ethernet Services,Ethernet,"Rural, Ultra-Rural",1
Malaysian Single Wholesale Network,Asia Pacific,458,MYS,Malaysia,Mobile OAN,MNO/MVNO Wholesale,5G,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban",2
Csquared,Africa & Middle East,288,GHA,Ghana,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing,GPON,"Rural, Ultra-Rural, Low-ARPU Urban",2
Csquared,Africa & Middle East,800,UGA,Uganda,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing,GPON,"Rural, Ultra-Rural, Low-ARPU Urban",2
Csquared,Africa & Middle East,430,LBR,Liberia,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing,GPON,"Rural, Ultra-Rural, Low-ARPU Urban",2
UK Shared Rural Network (SRN),Europe,826,GBR,United Kingdom,Mobile OAN,MNO/MVNO Wholesale | Roaming,4G,"Rural, Ultra-Rural",6
Brunei’s Unified National Networks,Asia Pacific,96,BRN,Brunei Darussalam,Single Wholesale Network,MNO/MVNO Wholesale,"2G, 3G, 4G","Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban",2
Internet Para Todos,Latin America,604,PER,Peru,Independent Mobile NaaSCo,MORAN,"2G, 3G, 4G","Rural, Ultra-Rural",4
Edotco,Asia Pacific,458,MYS,Malaysia,Independent Mobile NaaSCo,N/A,4G,"Rural, Low-ARPU urban",2
Finnish Shared Network,Europe,246,FIN,Finland,Joint Venture,MOCN,"2G, 3G, 4G, 5G",Rural and Ultra-Rural,1
